reference;periode;type_document;parties;description_contenu;depose_par;date_depot;date_execution;criticite;montant;droit_ubi_paye;statut;source_registre
CO-I-468-001;archives;Contrat commercial;Il-Irion ↔ Ther-Félis;Fourniture de serrures, moraillons, clés et plaques de coffre;;468-VIII-03;468-XII-06;I;7'450 couronnes;149 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
DE-III-468-004;archives;Contrat de dette;Palyr ↔ Sfaal;Prêt garanti pour reconstitution de réserves métalliques après crise de change;;468-X-23;469-I-29;III;7'100 couronnes;142 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EC-I-468-002;archives;Contrat d'exclusivité;Il-Irion ↔ Sfaal;Priorité d'achat sur le cuivre rouge livré au port;;468-XI-05;468-XII-03;I;6'800 couronnes;136 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
DE-III-469-003;archives;Contrat de dette;Ther-Félis ↔ Il-Irion;Prêt garanti pour reconstitution de réserves métalliques après crise de change;;469-II-14;469-IV-11;III;9'800 couronnes;196 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PR-III-469-002;archives;Contrat de protection;Ther-Félis ↔ Il-Irion;Escorte armée de poudres alchimiques et d'ingrédients magiques entre deux comptoirs;;469-VI-02;469-VIII-04;III;6'750 couronnes;135 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
SE-I-469-001;archives;Contrat de service;Palyr ↔ Ther-Félis;Copie de registres de dettes et reclassement de bordereaux;;469-XI-09;469-XII-13;I;8'050 couronnes;161 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-I-470-002;archives;Contrat commercial;Palyr ↔ Sfaal;Achat de charbon de forge, coke et sacs de poussière noire;;470-III-12;470-VII-11;I;7'450 couronnes;149 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
SE-III-470-004;archives;Contrat de service;Il-Irion ↔ Palyr;Mise à disposition de commis spécialisés pour copie de registres sensibles et reclassement de dettes;;470-III-28;470-VI-11;III;7'850 couronnes;157 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-470-003;archives;Contrat commercial;Il-Irion ↔ Arthas;Vente de fleurs coupées, bulbes rares et couronnes de serre;;470-X-22;470-XII-04;II;10'800 couronnes;216 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-471-003;archives;Contrat commercial;Ther-Félis ↔ Sfaal;Achat de pièces d'horlogerie, ressorts fins et cadrans d'émail;;471-I-02;471-V-11;II;11'150 couronnes;223 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EC-I-471-001;archives;Contrat d'exclusivité;Ther-Félis ↔ Sfaal;Exclusivité de fourniture d'encre noire aux scribes;;471-VII-26;471-XI-07;I;9'900 couronnes;198 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-III-471-004;archives;Contrat commercial;Ther-Félis ↔ Palyr;Achat de reliquaires techniques, lentilles gravées et plaques d'argent à usage d'atelier;;471-VIII-07;471-IX-26;III;8'400 couronnes;168 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PB-III-471-005;archives;Contrat de prêt bancaire;UBI ↔ Ther-Félis;Prêt bancaire pour avance d'exécution liée au contrat CO-III-471-004 : achat de reliquaires techniques, lentilles gravées et plaques d'argent à usage d'atelier;;471-VIII-07;471-IX-26;III;4'200 couronnes;168 couronnes;Exécuté, remboursé, classé;registre_UBI_Contrats_archives.md
SE-I-472-001;archives;Contrat de service;Il-Irion ↔ Palyr;Nettoyage de citernes, rigoles et bassins de salaison;;472-X-06;472-XI-14;I;2'500 couronnes;50 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PAR-I-472-002;archives;Paraphe de routes;Cinq cités confédérées;Constat des propriétés contractuelles des treize lignes marchandes après la quinzième régate;;472-XII-01;472-XII-01;I;0 couronne;50 couronnes;Enregistré, classé;registre_UBI_Contrats_archives.md
CO-II-473-003;archives;Contrat commercial;Sfaal ↔ Il-Irion;Fourniture de lances montées, boucliers peints et sangles de réserve;;473-V-09;473-VI-19;II;11'550 couronnes;231 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PR-I-473-002;archives;Contrat de protection;Sfaal ↔ Ther-Félis;Protection d'atelier pendant livraison de machines;;473-X-25;473-XII-26;I;8'700 couronnes;174 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EP-I-474-003;archives;Contrat d'exploitation;Ther-Félis ↔ Arthas;Coupe de pins droits pour mâts et longues perches;;474-II-06;474-V-08;I;9'550 couronnes;191 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
SE-I-474-002;archives;Contrat de service;Ther-Félis ↔ Il-Irion;Surveillance de salle de vente pendant adjudication;;474-IX-03;474-X-15;I;5'100 couronnes;102 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-474-004;archives;Contrat commercial;Ther-Félis ↔ Arthas;Fourniture de dalles de marbre veiné, colonnettes et chaux fine;;474-IX-16;474-XI-01;II;12'000 couronnes;240 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EP-I-476-001;archives;Contrat d'exploitation;Sfaal ↔ Arthas;Extraction de sel gris dans des bassins loués;;476-II-14;476-V-02;I;6'150 couronnes;123 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EC-I-476-002;archives;Contrat d'exclusivité;Il-Irion ↔ Arthas;Exclusivité de copie pour contrats de foire;;476-V-12;476-IX-15;I;2'000 couronnes;40 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-476-003;archives;Contrat commercial;Sfaal ↔ Palyr;Vente de miel clair, épices entières, fruits confits et sucre de pain;;476-XII-22;476-XII-08;II;12'250 couronnes;245 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-477-004;archives;Contrat commercial;Arthas ↔ Il-Irion;Transport de reliquaires, livres enluminés et coffrets de donation;;477-IV-03;477-VIII-16;II;12'700 couronnes;254 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EC-I-477-001;archives;Contrat d'exclusivité;Ther-Félis ↔ Arthas;Priorité sur bois de chêne sec pour coffres;;477-V-20;477-IX-09;I;6'750 couronnes;135 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
SE-I-477-002;archives;Contrat de service;Il-Irion ↔ Arthas;Construction de rayonnages, coffres bas et pupitres de compte;;477-VIII-26;477-IX-16;I;7'550 couronnes;151 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-I-477-003;archives;Contrat commercial;Ther-Félis ↔ Il-Irion;Vente de sel gris, saumure et jarres de conservation;;477-IX-19;477-X-23;I;2'850 couronnes;57 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PAR-I-477-005;archives;Paraphe de routes;Cinq cités confédérées;Constat des propriétés contractuelles des treize lignes marchandes après la seizième régate;;477-XII-01;477-XII-01;I;0 couronne;50 couronnes;Enregistré, classé;registre_UBI_Contrats_archives.md
CO-II-479-003;archives;Contrat commercial;Sfaal ↔ Ther-Félis;Vente de lingots d'argent gris, grenaille d'étain pur et plaques de cuivre rouge;;479-VII-09;479-VIII-23;II;12'950 couronnes;259 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
SE-I-479-002;archives;Contrat de service;Il-Irion ↔ Sfaal;Tenue de change temporaire pendant une foire déclarée;;479-XII-25;479-XII-04;I;3'300 couronnes;66 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-I-480-001;archives;Contrat commercial;Sfaal ↔ Ther-Félis;Achat de laine brute, fil teint et aiguilles d'atelier;;480-IV-17;480-VIII-10;I;9'200 couronnes;184 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
SE-I-480-002;archives;Contrat de service;Ther-Félis ↔ Palyr;Rédaction de contrats de vente pour marchands étrangers;;480-VII-23;480-VIII-17;I;10'000 couronnes;200 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-480-004;archives;Contrat commercial;Arthas ↔ Sfaal;Transport assuré de tableaux, statuettes votives et cadres dorés;;480-XI-16;480-XII-05;II;10'400 couronnes;208 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-481-003;archives;Contrat commercial;Sfaal ↔ Ther-Félis;Vente de sel d'alun, mordants de teinture et savons de laine;;481-I-21;481-IV-11;II;10'650 couronnes;213 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EP-I-481-002;archives;Contrat d'exploitation;Arthas ↔ Il-Irion;Extraction de sable lavé sur banc de rivière;;481-VI-11;481-X-18;I;4'550 couronnes;91 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PAR-I-482-002;archives;Paraphe de routes;Cinq cités confédérées;Constat des propriétés contractuelles des treize lignes marchandes après la dix-septième régate;;482-XII-01;482-XII-01;I;0 couronne;50 couronnes;Enregistré, classé;registre_UBI_Contrats_archives.md
EP-I-482-001;archives;Contrat d'exploitation;Palyr ↔ Sfaal;Coupe contrôlée de bois de chêne sur domaine marchand;;482-XII-08;482-XII-04;I;3'000 couronnes;60 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-483-003;archives;Contrat commercial;Arthas ↔ Sfaal;Achat de blocs de granit poli, seuils sculptés et marches taillées;;483-V-02;483-IX-19;II;11'000 couronnes;220 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
SE-I-483-001;archives;Contrat de service;Sfaal ↔ Il-Irion;Expertise de cargaisons humides après avarie de mer;;483-V-19;483-VI-17;I;4'200 couronnes;84 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-484-003;archives;Contrat commercial;Sfaal ↔ Arthas;Vente de fourrures de renard blanc, martre sombre et loup des hauts plateaux;;484-VIII-08;484-IX-26;II;11'350 couronnes;227 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-I-484-001;archives;Contrat commercial;Ther-Félis ↔ Il-Irion;Achat de planches de chêne, poutres courtes et chevilles de charpente;;484-VIII-25;484-X-24;I;4'850 couronnes;97 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-I-485-001;archives;Contrat commercial;Il-Irion ↔ Sfaal;Achat de fer doux, clous longs et bandes de cerclage;;485-XI-05;485-XII-05;I;5'450 couronnes;109 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
SE-I-486-001;archives;Contrat de service;Ther-Félis ↔ Arthas;Tri de ballots saisis et rédaction des listes de restitution;;486-IV-16;486-V-18;I;6'650 couronnes;133 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-486-003;archives;Contrat commercial;Arthas ↔ Palyr;Achat de pigments rares, laque rouge, bleu broyé et poudre d'or;;486-XII-15;486-XII-08;II;11'750 couronnes;235 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-487-003;archives;Contrat commercial;Palyr ↔ Il-Irion;Achat de selles ouvragées, mors argentés et couvertures de parade;;487-III-21;487-VI-15;II;12'100 couronnes;242 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PR-I-487-001;archives;Contrat de protection;Il-Irion ↔ Arthas;Garde de halle pendant vente de lots saisis;;487-VII-22;487-IX-25;I;7'250 couronnes;145 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PR-I-487-002;archives;Contrat de protection;Palyr ↔ Ther-Félis;Protection de scribes lors d'une tournée d'inventaire;;487-VIII-11;487-XII-22;I;7'100 couronnes;142 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PAR-I-487-004;archives;Paraphe de routes;Cinq cités confédérées;Constat des propriétés contractuelles des treize lignes marchandes après la dix-huitième régate;;487-XII-01;487-XII-01;I;0 couronne;50 couronnes;Enregistré, classé;registre_UBI_Contrats_archives.md
EP-I-488-001;archives;Contrat d'exploitation;Palyr ↔ Arthas;Exploitation limitée d'une carrière de calcaire;;488-X-02;488-XII-06;I;7'900 couronnes;158 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
SE-I-489-001;archives;Contrat de service;Sfaal ↔ Ther-Félis;Tenue de change temporaire pendant une foire déclarée;;489-III-13;489-IV-19;I;9'100 couronnes;182 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-489-003;archives;Contrat commercial;Arthas ↔ Ther-Félis;Achat de madriers d'ébène brun, placages de noyer noir et chevilles de buis;;489-VII-02;489-XI-23;II;12'450 couronnes;249 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EP-I-489-002;archives;Contrat d'exploitation;Arthas ↔ Ther-Félis;Prélèvement d'argile rouge pour tuiles et jarres;;489-XII-18;489-XII-04;I;7'750 couronnes;155 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EC-I-490-003;archives;Contrat d'exclusivité;Palyr ↔ Il-Irion;Priorité sur peaux tannées pour équipements de garde;;490-IV-25;490-VI-12;I;8'600 couronnes;172 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-I-490-001;archives;Contrat commercial;Ther-Félis ↔ Palyr;Fourniture d'encre noire, gomme, parchemins et règles de scribe;;490-VI-19;490-VIII-26;I;9'700 couronnes;194 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-490-004;archives;Contrat commercial;Palyr ↔ Ther-Félis;Achat de chevaux de trait, juments de selle et harnais complets;;490-XI-09;490-XII-05;II;12'900 couronnes;258 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
SE-I-492-001;archives;Contrat de service;Arthas ↔ Sfaal;Réfection de toitures d'entrepôt et pose de gouttières;;492-II-10;492-III-20;I;3'500 couronnes;70 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-492-003;archives;Contrat commercial;Il-Irion ↔ Sfaal;Vente de sel d'alun, mordants de teinture et savons de laine;;492-II-15;492-IV-12;II;10'150 couronnes;203 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PAR-I-492-004;archives;Paraphe de routes;Cinq cités confédérées;Constat des propriétés contractuelles des treize lignes marchandes après la dix-neuvième régate;;492-XII-01;492-XII-01;I;0 couronne;50 couronnes;Enregistré, classé;registre_UBI_Contrats_archives.md
PR-I-493-001;archives;Contrat de protection;Sfaal ↔ Palyr;Escorte de chariots de pierre sur route de carrière;;493-V-16;493-VII-01;I;4'150 couronnes;83 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-493-004;archives;Contrat commercial;Palyr ↔ Arthas;Vente de fourrures de loutre, doublures de manteau et gants doublés;;493-VI-22;493-IX-20;II;10'600 couronnes;212 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EP-I-493-002;archives;Contrat d'exploitation;Ther-Félis ↔ Sfaal;Récolte de plantes tinctoriales sur coteaux communs;;493-VIII-22;493-XI-08;I;4'950 couronnes;99 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PR-I-495-002;archives;Contrat de protection;Ther-Félis ↔ Sfaal;Escorte de lingots entre forge et comptoir bancaire;;495-II-18;495-III-08;I;2'300 couronnes;46 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-495-003;archives;Contrat commercial;Il-Irion ↔ Palyr;Vente de fourrures de renard blanc, martre sombre et loup des hauts plateaux;;495-IX-02;495-XII-01;II;10'850 couronnes;217 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-496-004;archives;Contrat commercial;Ther-Félis ↔ Il-Irion;Fourniture de verreries fines, flacons d'apothicaire et vitres colorées;;496-I-09;496-II-09;II;11'300 couronnes;226 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-I-496-001;archives;Contrat commercial;Arthas ↔ Il-Irion;Vente de cire blanche, suif, mèches et lanternes d'entrepôt;;496-IV-13;496-VI-02;I;6'600 couronnes;132 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-I-496-002;archives;Contrat commercial;Sfaal ↔ Il-Irion;Achat de planches de chêne, poutres courtes et chevilles de charpente;;496-VII-19;496-X-09;I;7'350 couronnes;147 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PAR-I-497-001;archives;Paraphe de routes;Cinq cités confédérées;Constat des propriétés contractuelles des treize lignes marchandes après la vingtième régate;;497-XII-01;497-XII-01;I;0 couronne;50 couronnes;Enregistré, classé;registre_UBI_Contrats_archives.md
CO-II-498-003;archives;Contrat commercial;Il-Irion ↔ Ther-Félis;Achat de selles ouvragées, mors argentés et couvertures de parade;;498-IV-15;498-VI-16;II;11'600 couronnes;232 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EC-I-498-002;archives;Contrat d'exclusivité;Palyr ↔ Ther-Félis;Exclusivité de fourniture d'encre noire aux scribes;;498-IX-05;498-XII-23;I;3'600 couronnes;72 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-I-499-003;archives;Contrat commercial;Arthas ↔ Ther-Félis;Achat de fer doux, clous longs et bandes de cerclage;;499-I-12;499-V-05;I;4'450 couronnes;89 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PR-I-499-001;archives;Contrat de protection;Sfaal ↔ Arthas;Protection de pesée publique après contestation;;499-III-10;499-V-03;I;9'000 couronnes;180 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-499-004;archives;Contrat commercial;Ther-Félis ↔ Sfaal;Vente de cerises précoces, raisins de serre et herbes fraîches;;499-VIII-22;499-XI-24;II;12'050 couronnes;241 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EC-I-500-001;archives;Contrat d'exclusivité;Il-Irion ↔ Ther-Félis;Priorité d'achat sur plantes tinctoriales séchées;;500-VIII-21;500-XII-16;I;2'200 couronnes;44 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-500-003;archives;Contrat commercial;Il-Irion ↔ Ther-Félis;Vente de cuirasses légères, casques rivetés et brassards de garde;;500-X-01;500-XII-04;II;12'300 couronnes;246 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-I-501-002;archives;Contrat commercial;Arthas ↔ Palyr;Achat de charbon de forge, coke et sacs de poussière noire;;501-II-07;501-IV-04;I;3'600 couronnes;72 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-502-003;archives;Contrat commercial;Ther-Félis ↔ Sfaal;Achat de tapis épais, tentures brodées et coussins de réception;;502-II-08;502-III-12;II;12'650 couronnes;253 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-I-502-001;archives;Contrat commercial;Sfaal ↔ Palyr;Vente de cire blanche, suif, mèches et lanternes d'entrepôt;;502-IV-12;502-VII-10;I;4'050 couronnes;81 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PR-I-502-002;archives;Contrat de protection;Ther-Félis ↔ Arthas;Escorte de chariots de pierre sur route de carrière;;502-VII-24;502-IX-19;I;5'500 couronnes;110 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PAR-I-502-004;archives;Paraphe de routes;Cinq cités confédérées;Constat des propriétés contractuelles des treize lignes marchandes après la vingt et unième régate;;502-XII-01;502-XII-01;I;0 couronne;50 couronnes;Enregistré, classé;registre_UBI_Contrats_archives.md
CO-II-503-003;archives;Contrat commercial;Il-Irion ↔ Arthas;Achat de cuivre martelé, gouttières fines et clous d'ornement;;503-V-14;503-VII-19;II;13'000 couronnes;260 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EP-I-503-002;archives;Contrat d'exploitation;Il-Irion ↔ Arthas;Récolte de plantes tinctoriales sur coteaux communs;;503-X-04;503-XII-26;I;6'150 couronnes;123 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PR-I-504-002;archives;Contrat de protection;Palyr ↔ Sfaal;Garde de coffre de succession avant partage;;504-I-04;504-III-05;I;6'050 couronnes;121 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EC-I-505-002;archives;Contrat d'exclusivité;Ther-Félis ↔ Il-Irion;Priorité sur les cordages longs destinés aux quais;;505-II-11;505-VI-08;I;6'800 couronnes;136 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EP-I-505-001;archives;Contrat d'exploitation;Arthas ↔ Il-Irion;Coupe de pins droits pour mâts et longues perches;;505-III-09;505-VI-11;I;6'450 couronnes;129 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-505-003;archives;Contrat commercial;Ther-Félis ↔ Palyr;Achat de soies teintes, brocarts d'or pâle et velours bleu de cérémonie;;505-IX-21;505-XII-01;II;10'350 couronnes;207 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EC-I-506-001;archives;Contrat d'exclusivité;Sfaal ↔ Il-Irion;Exclusivité de copie pour contrats de foire;;506-VI-15;506-X-18;I;7'100 couronnes;142 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-506-003;archives;Contrat commercial;Sfaal ↔ Il-Irion;Achat de fruits fragiles, poires d'hiver, figues violettes et paniers de pêches;;506-XII-01;506-XII-08;II;10'700 couronnes;214 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
SE-I-507-001;archives;Contrat de service;Ther-Félis ↔ Il-Irion;Copie de registres de dettes et reclassement de bordereaux;;507-IX-21;507-X-25;I;7'700 couronnes;154 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PAR-I-507-002;archives;Paraphe de routes;Cinq cités confédérées;Constat des propriétés contractuelles des treize lignes marchandes après la vingt-deuxième régate;;507-XII-01;507-XII-01;I;0 couronne;50 couronnes;Enregistré, classé;registre_UBI_Contrats_archives.md
CO-I-508-001;archives;Contrat commercial;Sfaal ↔ Arthas;Achat de charbon de forge, coke et sacs de poussière noire;;508-II-06;508-V-12;I;8'900 couronnes;178 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-508-003;archives;Contrat commercial;Ther-Félis ↔ Arthas;Vente de bois de cèdre, panneaux parfumés et coffrets bruts;;508-IV-08;508-V-16;II;11'050 couronnes;221 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
SE-I-508-002;archives;Contrat de service;Palyr ↔ Sfaal;Nettoyage de citernes, rigoles et bassins de salaison;;508-IX-24;508-XI-23;I;8'050 couronnes;161 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-I-509-001;archives;Contrat commercial;Ther-Félis ↔ Arthas;Fourniture d'encre noire, gomme, parchemins et règles de scribe;;509-V-12;509-IX-19;I;9'500 couronnes;190 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-509-004;archives;Contrat commercial;Sfaal ↔ Ther-Félis;Achat de chevaux rapides pour relais de messagers;;509-VIII-15;509-X-24;II;11'500 couronnes;230 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
SE-I-509-002;archives;Contrat de service;Il-Irion ↔ Arthas;Nettoyage de citernes, rigoles et bassins de salaison;;509-VIII-18;509-IX-26;I;2'300 couronnes;46 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PR-I-510-001;archives;Contrat de protection;Palyr ↔ Ther-Félis;Protection d'atelier pendant livraison de machines;;510-X-23;510-XII-06;I;2'700 couronnes;54 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EP-I-511-002;archives;Contrat d'exploitation;Sfaal ↔ Ther-Félis;Ramassage de coquilles, chaux marine et sable blanc;;511-IV-11;511-VIII-12;I;9'350 couronnes;187 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-511-003;archives;Contrat commercial;Arthas ↔ Il-Irion;Vente de cuirasses légères, casques rivetés et brassards de garde;;511-XI-21;511-XII-05;II;11'800 couronnes;236 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-512-004;archives;Contrat commercial;Sfaal ↔ Arthas;Fourniture de tuiles vernissées, ferrures de portail et plomb de toiture;;512-III-02;512-VII-13;II;12'250 couronnes;245 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EC-I-512-001;archives;Contrat d'exclusivité;Sfaal ↔ Ther-Félis;Priorité sur jarres d'huile et graisse de conservation;;512-IV-09;512-VIII-20;I;3'950 couronnes;79 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EC-I-512-003;archives;Contrat d'exclusivité;Ther-Félis ↔ Arthas;Priorité d'achat sur le cuivre rouge livré au port;;512-VIII-18;512-IX-20;I;2'200 couronnes;44 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PAR-I-512-005;archives;Paraphe de routes;Cinq cités confédérées;Constat des propriétés contractuelles des treize lignes marchandes après la vingt-troisième régate;;512-XII-01;512-XII-01;I;0 couronne;50 couronnes;Enregistré, classé;registre_UBI_Contrats_archives.md
CO-II-514-003;archives;Contrat commercial;Arthas ↔ Sfaal;Achat de cuivre martelé, gouttières fines et clous d'ornement;;514-VI-08;514-VII-20;II;12'500 couronnes;250 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-I-514-002;archives;Contrat commercial;Il-Irion ↔ Arthas;Fourniture de peaux tannées, graisse de cuir et lacets d'attache;;514-XI-24;514-XII-01;I;2'650 couronnes;53 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-I-515-001;archives;Contrat commercial;Arthas ↔ Sfaal;Vente de cire blanche, suif, mèches et lanternes d'entrepôt;;515-III-06;515-VII-21;I;6'400 couronnes;128 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
SE-I-515-002;archives;Contrat de service;Sfaal ↔ Palyr;Construction de rayonnages, coffres bas et pupitres de compte;;515-VI-12;515-VII-02;I;7'200 couronnes;144 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-515-004;archives;Contrat commercial;Palyr ↔ Il-Irion;Fourniture de minerai de fer noir, hématite rouge et sacs de charbon de forge;;515-X-15;515-XII-02;II;12'950 couronnes;259 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PR-I-516-001;archives;Contrat de protection;Ther-Félis ↔ Il-Irion;Garde de cave après saisie de tonneaux;;516-VIII-17;516-X-08;I;7'600 couronnes;152 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EC-I-517-002;archives;Contrat d'exclusivité;Palyr ↔ Il-Irion;Exclusivité de fourniture de lanternes de quai;;517-II-03;517-VI-22;I;9'000 couronnes;180 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-517-004;archives;Contrat commercial;Arthas ↔ Ther-Félis;Achat de fruits fragiles, poires d'hiver, figues violettes et paniers de pêches;;517-II-22;517-V-10;II;10'300 couronnes;206 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EP-I-517-001;archives;Contrat d'exploitation;Il-Irion ↔ Sfaal;Exploitation de ruchers et prélèvement de cire;;517-XI-23;517-XII-15;I;8'200 couronnes;164 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PAR-I-517-005;archives;Paraphe de routes;Cinq cités confédérées;Constat des propriétés contractuelles des treize lignes marchandes après la vingt-quatrième régate;;517-XII-01;517-XII-01;I;0 couronne;50 couronnes;Enregistré, classé;registre_UBI_Contrats_archives.md
